EbN0_dB,BER,FER
4.000000000000000000e+00,8.100000000000000000e+01,1.549999999999999983e-07
4.000000000000000000e+00,8.200000000000000000e+01,1.559999999999999940e-07
4.000000000000000000e+00,8.200000000000000000e+01,1.559999999999999940e-07
4.000000000000000000e+00,8.300000000000000000e+01,1.569999999999999897e-07
4.000000000000000000e+00,8.300000000000000000e+01,1.559999999999999940e-07
4.000000000000000000e+00,8.400000000000000000e+01,1.569999999999999897e-07
4.000000000000000000e+00,8.500000000000000000e+01,1.569999999999999897e-07
4.000000000000000000e+00,8.500000000000000000e+01,1.559999999999999940e-07
4.000000000000000000e+00,8.500000000000000000e+01,1.549999999999999983e-07
4.000000000000000000e+00,8.500000000000000000e+01,1.549999999999999983e-07
4.000000000000000000e+00,8.500000000000000000e+01,1.540000000000000026e-07
4.000000000000000000e+00,8.600000000000000000e+01,1.559999999999999940e-07
4.000000000000000000e+00,8.600000000000000000e+01,1.559999999999999940e-07
4.000000000000000000e+00,8.600000000000000000e+01,1.549999999999999983e-07
4.000000000000000000e+00,8.600000000000000000e+01,1.540000000000000026e-07
4.000000000000000000e+00,8.600000000000000000e+01,1.540000000000000026e-07
4.000000000000000000e+00,8.700000000000000000e+01,1.549999999999999983e-07
4.000000000000000000e+00,8.700000000000000000e+01,1.540000000000000026e-07
4.000000000000000000e+00,8.700000000000000000e+01,1.540000000000000026e-07
4.000000000000000000e+00,8.700000000000000000e+01,1.530000000000000068e-07
4.000000000000000000e+00,8.700000000000000000e+01,1.530000000000000068e-07
4.000000000000000000e+00,8.700000000000000000e+01,1.520000000000000111e-07
4.000000000000000000e+00,8.700000000000000000e+01,1.520000000000000111e-07
4.000000000000000000e+00,8.700000000000000000e+01,1.509999999999999889e-07
4.000000000000000000e+00,8.800000000000000000e+01,1.530000000000000068e-07
4.000000000000000000e+00,8.800000000000000000e+01,1.520000000000000111e-07
4.000000000000000000e+00,8.800000000000000000e+01,1.520000000000000111e-07
4.000000000000000000e+00,8.800000000000000000e+01,1.509999999999999889e-07
4.000000000000000000e+00,8.800000000000000000e+01,1.499999999999999932e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.520000000000000111e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.509999999999999889e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.499999999999999932e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.499999999999999932e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.489999999999999975e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.489999999999999975e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.480000000000000018e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.480000000000000018e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.470000000000000061e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.470000000000000061e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.460000000000000103e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.460000000000000103e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.449999999999999881e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.449999999999999881e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.439999999999999924e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.439999999999999924e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.429999999999999967e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.429999999999999967e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.420000000000000010e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.420000000000000010e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.410000000000000053e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.410000000000000053e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.400000000000000095e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.400000000000000095e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.400000000000000095e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.389999999999999874e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.389999999999999874e-07
4.000000000000000000e+00,8.900000000000000000e+01,1.379999999999999916e-07
4.000000000000000000e+00,9.100000000000000000e+01,1.410000000000000053e-07
4.000000000000000000e+00,9.100000000000000000e+01,1.410000000000000053e-07
4.000000000000000000e+00,9.100000000000000000e+01,1.400000000000000095e-07
4.000000000000000000e+00,9.100000000000000000e+01,1.400000000000000095e-07
4.000000000000000000e+00,9.100000000000000000e+01,1.400000000000000095e-07
4.000000000000000000e+00,9.100000000000000000e+01,1.389999999999999874e-07
4.000000000000000000e+00,9.100000000000000000e+01,1.389999999999999874e-07
4.000000000000000000e+00,9.300000000000000000e+01,1.410000000000000053e-07
4.000000000000000000e+00,9.300000000000000000e+01,1.410000000000000053e-07
4.000000000000000000e+00,9.300000000000000000e+01,1.400000000000000095e-07
4.000000000000000000e+00,9.300000000000000000e+01,1.400000000000000095e-07
4.000000000000000000e+00,9.400000000000000000e+01,1.400000000000000095e-07
4.000000000000000000e+00,9.500000000000000000e+01,1.420000000000000010e-07
4.000000000000000000e+00,9.500000000000000000e+01,1.420000000000000010e-07
4.000000000000000000e+00,9.600000000000000000e+01,1.429999999999999967e-07
4.000000000000000000e+00,9.600000000000000000e+01,1.420000000000000010e-07
4.000000000000000000e+00,9.600000000000000000e+01,1.420000000000000010e-07
4.000000000000000000e+00,9.700000000000000000e+01,1.429999999999999967e-07
4.000000000000000000e+00,9.700000000000000000e+01,1.429999999999999967e-07
4.000000000000000000e+00,9.700000000000000000e+01,1.420000000000000010e-07
4.000000000000000000e+00,9.700000000000000000e+01,1.420000000000000010e-07
